event_id,event,outlet,channel,url,headline,published_at,lag_hours,first,words,named_sources,quotes,primary_doc_links,clickbait_headline,returns,return_at,depth
5,"законодательства, миграционного, нарушение, ташкент, аэропорт, гражданами",Repost.uz,telegram,https://t.me/RepostUZ/85068,США депортировали на родину 18 узбекистанцев,2026-08-03T10:12:01+05:00,21.0,False,26,0,0,0,False,0,,только факт
5,"законодательства, миграционного, нарушение, ташкент, аэропорт, гражданами",Gazeta.uz,telegram,https://t.me/gazetauz/63308,"В Ташкент из США прибыли ещё 18 человек, высланные за нарушение миграционного законодательства.",2026-08-03T10:30:06+05:00,21.3,False,33,0,0,0,False,0,,только факт
5,"законодательства, миграционного, нарушение, ташкент, аэропорт, гражданами",Kun.uz,telegram,https://t.me/kunuzru/73537,"В Ташкент прибыл рейс с 18 гражданами Узбекистана, депортированными из США",2026-08-03T11:50:06+05:00,22.6,False,78,1,1,0,False,0,,только факт
6,"девушке, домогательств, штраф, сырдарье, защищаясь, кричала",UzNews.uz,telegram,https://t.me/uznews/48576,"В Сырдарье отменили штраф девушке, которая кричала, защищаясь от домогательств",2026-08-03T20:03:32+05:00,0.0,True,40,0,0,0,False,0,,только факт
6,"девушке, домогательств, штраф, сырдарье, защищаясь, кричала",Gazeta.uz,telegram,https://t.me/gazetauz/63325,"Суд в Сырдарьинской области назначил 18-летней девушке штраф в размере 1,24 млн сумов за мелкое",2026-08-03T20:08:15+05:00,0.1,False,64,0,0,0,False,0,,только факт
6,"девушке, домогательств, штраф, сырдарье, защищаясь, кричала",Repost.uz,telegram,https://t.me/RepostUZ/85103,"В Сырдарье отменили штраф девушке, которая кричала, защищаясь от домогательств со стороны бывшего тренера",2026-08-03T20:29:48+05:00,0.4,False,50,0,1,0,False,0,,только факт
6,"девушке, домогательств, штраф, сырдарье, защищаясь, кричала",Kun.uz,telegram,https://t.me/kunuzru/73552,"Суд отменил штраф девушке, криком защищавшейся от домогательств",2026-08-04T11:20:06+05:00,15.3,False,83,0,0,0,False,0,,только факт
7,"должностных, отношении, прокуратура, logistics, возбудила, уголовное",Spot.uz,telegram,https://t.me/spotuz/39253,По факту сноса дома и строительства ЖК New Port в Ташкенте возбуждено уголовное дело,2026-08-04T11:33:27+05:00,0.0,True,132,2,0,0,False,0,,контекст
7,"должностных, отношении, прокуратура, logistics, возбудила, уголовное",UzNews.uz,telegram,https://t.me/uznews/48584,В Ташкенте возбудили уголовное дело после сноса дома до завершения выселения жильцов — видео,2026-08-04T12:05:32+05:00,0.5,False,41,0,0,0,False,0,,только факт
7,"должностных, отношении, прокуратура, logistics, возбудила, уголовное",Gazeta.uz,telegram,https://t.me/gazetauz/63332,В отношении должностных лиц Mega Logistics Service (реализует проект ЖК Newport) возбуждено уголовное дело. По,2026-08-04T12:41:04+05:00,1.1,False,109,0,0,0,False,0,,только факт
7,"должностных, отношении, прокуратура, logistics, возбудила, уголовное",Kun.uz,telegram,https://t.me/kunuzru/73558,В Ташкенте расследуют незаконный снос дома и самовольное строительство,2026-08-04T14:19:58+05:00,2.8,False,88,2,1,0,False,0,,контекст
7,"должностных, отношении, прокуратура, logistics, возбудила, уголовное",LEAP News,сайт,https://leap.uz/ru/2026/08/04/yakkasaray-new-port-demolition-case,Прокуратура Ташкента возбудила дело о самовольном сносе дома под ЖК New Port,2026-08-04T18:01:00+05:00,6.5,False,343,3,1,0,False,0,,контекст
8,"sonet, uzbekistan, годовых, опубликовала, платежа, рассрочки",UzNews.uz,telegram,https://t.me/uznews/48587,Kia Uzbekistan опубликовала условия рассрочки платежа,2026-08-04T13:00:48+05:00,0.0,True,37,0,0,0,False,0,,только факт
8,"sonet, uzbekistan, годовых, опубликовала, платежа, рассрочки",Repost.uz,telegram,https://t.me/RepostUZ/85134,Kia Uzbekistan опубликовала условия рассрочки платежа на Kia Sonet со ставкой от 0% годовых,2026-08-04T15:01:59+05:00,2.0,False,18,0,0,0,False,0,,только факт
8,"sonet, uzbekistan, годовых, опубликовала, платежа, рассрочки",Gazeta.uz,telegram,https://t.me/gazetauz/63341,В Kia Uzbekistan рассказали об условиях приобретения Kia Sonet в рассрочку по ставке от 0%,2026-08-04T17:00:22+05:00,4.0,False,36,0,0,0,False,0,,только факт
8,"sonet, uzbekistan, годовых, опубликовала, платежа, рассрочки",Kun.uz,telegram,https://t.me/kunuzru/73561,Kia Uzbekistan опубликовала условия рассрочки платежа на Kia Sonet со ставкой от 0% годовых,2026-08-04T17:00:40+05:00,4.0,False,53,0,0,0,False,0,,только факт
